iter	Passed	Remaining
399	37987	104465
400	38091	104395
401	38189	104308
402	38279	104199
403	38367	104086
404	38459	103983
405	38552	103881
406	38649	103793
407	38741	103689
408	38834	103590
409	38926	103486
410	39014	103373
411	39108	103277
412	39199	103170
413	39290	103065
414	39376	102949
415	39473	102859
416	39555	102730
417	39647	102629
418	39731	102504
419	39823	102403
420	39921	102317
421	40017	102224
422	40105	102112
423	40194	102003
424	40290	101911
425	40374	101790
426	40471	101699
427	40562	101594
428	40653	101491
429	40736	101366
430	40824	101257
431	40958	101258
432	41062	101185
433	41150	101075
434	41242	100973
435	41337	100878
436	41421	100757
437	41513	100655
438	41606	100556
439	41697	100453
440	41787	100345
441	41880	100247
442	41973	100147
443	42063	100043
444	42145	99917
445	42240	99823
446	42327	99711
447	42421	99614
448	42544	99586
449	42687	99604
450	42794	99537
451	42898	99464
452	42996	99374
453	43082	99261
454	43174	99159
455	43267	99060
456	43364	98968
457	43458	98872
458	43552	98775
459	43645	98677
460	43738	98577
461	43829	98473
462	43923	98377
463	44020	98287
464	44127	98218
465	44240	98165
466	44336	98072
467	44433	97981
468	44512	97851
469	44591	97721
470	44680	97614
471	44771	97510
472	44869	97423
473	44965	97329
474	45053	97220
475	45141	97111
476	45230	97004
477	45323	96905
478	45409	96792
479	45503	96694
480	45593	96590
481	45687	96492
482	45787	96409
483	45878	96306
484	45979	96225
485	46072	96127
486	46181	96060
487	46279	95972
488	46373	95876
489	46477	95800
490	46565	95691
491	46675	95626
492	46791	95576
493	46895	95499
494	47005	95434
495	47129	95399
496	47249	95355
497	47360	95291
498	47473	95232
499	47592	95184
500	47711	95137
501	47810	95049
502	47908	94959
503	48010	94877
504	48109	94789
505	48222	94730
506	48319	94638
507	48416	94545
508	48514	94455
509	48631	94403
510	48762	94376
511	48875	94313
512	48983	94243
513	49095	94180
514	49191	94084
515	49284	93983
516	49372	93875
517	49495	93830
518	49619	93789
519	49744	93749
520	49853	93678
521	49974	93630
522	50081	93556
523	50193	93490
524	50297	93409
525	50388	93304
526	50482	93206
527	50577	93109
528	50667	93002
529	50758	92898
530	50848	92792
531	50931	92672
532	51019	92563
533	51112	92461
534	51203	92356
535	51304	92270
536	51409	92192
537	51508	92103
538	51602	92003
539	51699	91910
540	51789	91803
541	51882	91704
542	51976	91604
543	52078	91519
544	52177	91429
545	52269	91327
546	52354	91212
547	52445	91109
548	52539	91010
549	52631	90908
550	52764	90877
551	52881	90817
552	52994	90751
553	53115	90698
554	53215	90609
555	53304	90502
556	53391	90391
557	53483	90290
558	53584	90202
559	53679	90105
560	53779	90015
561	53867	89907
562	53961	89807
563	54064	89724
564	54165	89637
565	54261	89540
566	54357	89446
567	54457	89355
568	54555	89263
569	54651	89168
570	54750	89077
571	54851	88990
572	54943	88887
573	55030	88777
574	55126	88681
575	55220	88583
576	55319	88492
577	55415	88395
578	55518	88311
579	55619	88223
580	55717	88131
581	55807	88025
582	55892	87913
583	55989	87819
584	56097	87741
585	56200	87658
586	56300	87568
587	56395	87471
588	56500	87388
589	56604	87305
590	56705	87217
591	56803	87124
592	56912	87048
593	57015	86962
594	57124	86886
595	57239	86820
596	57386	86800
597	57494	86723
598	57637	86696
599	57814	86722
600	57919	86637
601	58008	86530
602	58136	86481
603	58238	86393
604	58331	86292
605	58466	86253
606	58567	86162
607	58673	86080
608	58845	86093
609	58978	86051
610	59081	85963
611	59197	85894
612	59388	85933
613	59596	85997
614	59777	86020
615	59904	85967
616	59998	85865
617	60088	85757
618	60176	85646
619	60266	85539
620	60353	85427
621	60469	85357
622	60582	85282
623	60696	85208
624	60839	85175
625	61001	85168
626	61154	85147
627	61312	85134
628	61462	85109
629	61588	85050
630	61693	84962
631	61786	84859
632	61871	84743
633	61965	84640
634	62057	84535
635	62162	84447
636	62272	84365
637	62369	84267
638	62471	84175
639	62572	84081
640	62675	83991
641	62783	83906
642	62885	83814
643	62989	83725
644	63100	83644
645	63225	83583
646	63333	83498
647	63428	83396
648	63528	83302
649	63626	83203
650	63728	83111
651	63820	83005
652	63908	82895
653	64080	82892
654	64236	82870
655	64356	82800
656	64456	82703
657	64574	82631
658	64781	82672
659	64969	82689
660	65166	82714
661	65353	82728
662	65477	82661
663	65571	82556
664	65671	82459
665	65765	82355
666	65865	82257
667	65957	82151
668	66049	82043
669	66141	81936
670	66231	81826
671	66326	81723
672	66421	81620
673	66532	81536
674	66731	81560
675	66964	81624
676	67193	81684
677	67400	81715
678	67574	81706
679	67691	81628
680	67783	81518
681	67875	81411
682	67958	81291
683	68055	81188
684	68146	81079
685	68238	80970
686	68388	80931
687	68601	80965
688	68771	80948
689	68946	80936
690	69085	80883
691	69225	80830
692	69409	80827
693	69546	80770
694	69640	80663
695	69735	80557
696	69879	80506
697	70098	80542
698	70277	80532
699	70394	80450
700	70492	80347
701	70688	80354
702	70872	80348
703	71049	80334
704	71207	80297
705	71303	80190
706	71394	80079
707	71492	79974
708	71590	79870
709	71738	79821
710	71945	79838
711	72120	79818
712	72243	79741
713	72343	79638
714	72472	79568
715	72603	79498
716	72774	79473
717	72976	79481
718	73171	79480
719	73367	79481
720	73562	79480
721	73758	79479
722	73964	79488
723	74113	79436
724	74208	79326
725	74304	79216
726	74399	79107
727	74504	79007
728	74636	78936
729	74742	78837
730	74841	78731
731	74934	78620
732	75033	78513
733	75125	78401
734	75271	78344
735	75439	78309
736	75630	78298
737	75753	78216
738	75852	78110
739	75949	78002
740	76081	77929
741	76275	77920
742	76473	77914
743	76675	77912
744	76861	77893
745	76960	77785
746	77058	77677
747	77154	77567
748	77247	77453
749	77338	77338
750	77429	77223
751	77523	77111
752	77630	77012
753	77731	76907
754	77831	76800
755	77954	76717
756	78112	76667
757	78290	76638
758	78471	76610
759	78645	76575
760	78780	76503
761	78868	76384
762	78959	76269
763	79048	76151
764	79143	76040
765	79289	75977
766	79461	75939
767	79637	75904
768	79792	75849
769	79947	75794
770	80037	75677
771	80138	75571
772	80236	75461
773	80333	75351
774	80429	75240
775	80565	75167
776	80757	75144
777	80944	75117
778	81106	75067
779	81204	74958
780	81306	74851
781	81405	74742
782	81558	74683
783	81686	74601
784	81795	74501
785	81990	74480
786	82146	74422
787	82247	74315
788	82334	74195
789	82423	74077
790	82570	74010
791	82751	73974
792	82954	73958
793	83171	73953
794	83352	73916
795	83533	73879
796	83619	73757
797	83707	73637
798	83866	73580
799	84061	73553
800	84273	73542
801	84475	73521
802	84683	73505
803	84883	73481
804	85092	73465
805	85233	73389
806	85321	73269
807	85417	73154
808	85504	73032
809	85594	72913
810	85685	72795
811	85808	72705
812	86006	72677
813	86200	72645
814	86360	72584
815	86454	72469
816	86573	72374
817	86680	72269
818	86776	72154
819	86870	72039
820	87007	71958
821	87245	71961
822	87335	71842
823	87430	71726
824	87527	71613
825	87613	71490
826	87710	71377
827	87808	71264
828	87899	71146
829	88052	71078
830	88272	71064
831	88391	70968
832	88482	70849
833	88587	70742
834	88686	70630
835	88773	70509
